,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc,cv_score
0,0.3333333333333333,0.06666666666666667,0.49180327868852464,0.125,0.6309523809523809,0.6111111111111112,0.7233333333333333
1,0.3902439024390244,0.3157894736842105,0.5517241379310345,0.4799999999999999,0.6904761904761905,0.6388888888888888,0.7166666666666666
2,0.325,0.4,0.4905660377358491,0.5714285714285715,0.6785714285714286,0.6666666666666666,0.7166666666666666
3,0.3170731707317073,0.47368421052631576,0.48148148148148145,0.6428571428571429,0.6666666666666666,0.7222222222222222,0.7333333333333333
4,0.34782608695652173,0.21428571428571427,0.5161290322580645,0.35294117647058826,0.6428571428571429,0.6944444444444444,0.7566666666666666
5,0.3,0.35,0.4528301886792453,0.5185185185185185,0.6547619047619048,0.6388888888888888,0.7333333333333333
6,0.2619047619047619,0.5555555555555556,0.4074074074074074,0.7142857142857143,0.6190476190476191,0.7777777777777778,0.7233333333333333
7,0.30952380952380953,0.2777777777777778,0.4727272727272727,0.4166666666666667,0.6547619047619048,0.6111111111111112,0.6866666666666665
8,0.36585365853658536,0.15789473684210525,0.5357142857142857,0.2727272727272727,0.6904761904761905,0.5555555555555556,0.7466666666666666
9,0.30952380952380953,0.2222222222222222,0.46428571428571436,0.3636363636363636,0.6428571428571429,0.6111111111111112,0.7066666666666666
10,0.3333333333333333,0.4666666666666667,0.5,0.6363636363636364,0.6428571428571429,0.7777777777777778,0.7566666666666666
11,0.3181818181818182,0.4375,0.47457627118644075,0.6086956521739131,0.6309523809523809,0.75,0.7366666666666666
12,0.3488372093023256,0.23529411764705882,0.5172413793103449,0.38095238095238093,0.6666666666666666,0.6388888888888888,0.6966666666666665
13,0.34146341463414637,0.42105263157894735,0.4912280701754386,0.5925925925925926,0.6547619047619048,0.6944444444444444,0.7033333333333333
14,0.3333333333333333,0.3888888888888889,0.5,0.56,0.6666666666666666,0.6944444444444444,0.7733333333333333
15,0.34146341463414637,0.3684210526315789,0.5,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6933333333333332
16,0.4166666666666667,0.2916666666666667,0.5882352941176471,0.45161290322580644,0.75,0.5277777777777778,0.7466666666666666
17,0.3902439024390244,0.5263157894736842,0.5517241379310345,0.6666666666666666,0.6904761904761905,0.7222222222222222,0.7166666666666666
18,0.36363636363636365,0.3125,0.5333333333333333,0.47619047619047616,0.6666666666666666,0.6944444444444444,0.7566666666666666
19,0.3902439024390244,0.2631578947368421,0.5614035087719299,0.4166666666666667,0.7023809523809523,0.6111111111111112,0.7633333333333333
20,0.2978723404255319,0.38461538461538464,0.45901639344262296,0.5263157894736842,0.6071428571428571,0.75,0.72
21,0.3157894736842105,0.36363636363636365,0.47058823529411764,0.5333333333333333,0.6785714285714286,0.6111111111111112,0.7266666666666666
22,0.38636363636363635,0.3125,0.5573770491803279,0.47619047619047616,0.6785714285714286,0.6944444444444444,0.74
23,0.34285714285714286,0.36,0.5000000000000001,0.5294117647058824,0.7142857142857143,0.5555555555555556,0.73
24,0.35,0.3,0.5090909090909091,0.4615384615384615,0.6785714285714286,0.6111111111111112,0.6866666666666665
25,0.32608695652173914,0.21428571428571427,0.4918032786885246,0.3333333333333333,0.6309523809523809,0.6666666666666666,0.6666666666666665
26,0.32558139534883723,0.4117647058823529,0.49122807017543857,0.5833333333333334,0.6547619047619048,0.7222222222222222,0.7433333333333333
27,0.32608695652173914,0.21428571428571427,0.4918032786885246,0.35294117647058826,0.6309523809523809,0.6944444444444444,0.7166666666666666
28,0.3111111111111111,0.3333333333333333,0.4745762711864407,0.5,0.6309523809523809,0.7222222222222222,0.7366666666666666
29,0.36585365853658536,0.42105263157894735,0.5263157894736842,0.5714285714285714,0.6785714285714286,0.6666666666666666,0.6966666666666665
