,test_recall,test_f1,test_acc,cv_score
0,0.7142857142857143,0.5,0.7222222222222222,0.63
1,0.7272727272727273,0.5714285714285714,0.6666666666666666,0.69
2,0.5714285714285714,0.3809523809523809,0.6388888888888888,0.68
3,0.8333333333333334,0.6451612903225806,0.6944444444444444,0.7066666666666666
4,0.75,0.5625000000000001,0.6111111111111112,0.67
5,0.8571428571428571,0.4615384615384615,0.6111111111111112,0.62
6,0.4545454545454545,0.4,0.5833333333333334,0.64
7,0.8181818181818182,0.6206896551724137,0.6944444444444444,0.6466666666666666
8,0.625,0.4761904761904762,0.6944444444444444,0.65
9,0.8333333333333334,0.6896551724137931,0.75,0.6366666666666666
10,0.85,0.6428571428571429,0.7222222222222222,0.7166666666666666
11,0.7272727272727273,0.5925925925925926,0.6944444444444444,0.7
12,0.75,0.6894736842105262,0.7777777777777778,0.6333333333333333
13,0.7272727272727273,0.5517241379310345,0.6388888888888888,0.69
14,0.5555555555555556,0.2666666666666667,0.6944444444444444,0.6933333333333332
15,0.5555555555555556,0.3571428571428571,0.5,0.6399999999999999
16,0.8461538461538461,0.6666666666666667,0.6944444444444444,0.63
17,0.8,0.5806451612903225,0.6388888888888888,0.66
18,0.6428571428571429,0.5806451612903226,0.6388888888888888,0.6433333333333334
19,0.7692307692307693,0.588235294117647,0.6111111111111112,0.65
20,0.5555555555555556,0.5384615384615384,0.6666666666666666,0.64
21,0.75,0.6153846153846153,0.5833333333333334,0.6866666666666665
22,0.8166666666666667,0.6470588235294118,0.6666666666666666,0.6533333333333333
23,0.5555555555555556,0.3846153846153846,0.5555555555555556,0.6333333333333333
24,0.75,0.5294117647058824,0.5555555555555556,0.6533333333333333
25,0.7058823529411765,0.7058823529411765,0.7222222222222222,0.68
26,0.7142857142857143,0.6451612903225806,0.6944444444444444,0.6866666666666665
27,0.7777777777777778,0.6363636363636364,0.7777777777777778,0.6666666666666665
28,0.6666666666666666,0.606060606060606,0.6388888888888888,0.6866666666666665
29,0.5833333333333334,0.4516129032258065,0.5277777777777778,0.65
